id,initial_invt,monthly_invt,x_1,x_2,x_3,x_4,x_5,x_6,x_7,w_1,w_2,w_3,w_4,w_5,w_6,w_7,PC Date
1,2100,410,NYSEARCA:RYE,NYSEARCA:XOP,NYSEARCA:PXE,NYSEARCA:VAW,NYSEARCA:PYZ,,,0.455010089,0.263217176,0.028959989,0.102651944,0.150160802,,,14/4/2008
2,5200,310,NYSEARCA:XOP,NYSEARCA:XES,NYSEARCA:VAW,,,,,0.541295814,0.189734586,0.2689696,,,,,12/3/2009
3,5800,430,NYSEARCA:XOP,NYSEARCA:PXJ,NYSEARCA:IYM,NYSEARCA:JKH,,,,0.488191296,0.262604732,0.067122638,0.182081334,,,,16/7/2008
4,1600,460,NYSEARCA:XES,NYSEARCA:PXI,NYSEARCA:VAW,NYSEARCA:PYZ,,,,0.417127753,0.484994068,0.029230243,0.068647936,,,,26/4/2009
5,17600,4520,NYSEARCA:XOP,NYSEARCA:VDE,NYSEARCA:EWC,NYSEARCA:FVL,,,,0.461548659,0.303629642,0.228779078,0.006042622,,,,25/4/2008
6,12500,1920,NYSEARCA:IYE,NYSEARCA:XES,NYSEARCA:JKH,NYSEARCA:IGM,,,,0.659033463,0.212342403,0.096903091,0.031721043,,,,15/11/2008
7,18800,680,NYSEARCA:PXE,NYSEARCA:VDE,NYSEARCA:XME,NYSEARCA:FVL,NYSEARCA:IGM,,,0.454465388,0.40963321,0.047949853,0.056052972,0.031898576,,,13/4/2009
8,15000,3630,NYSEARCA:IEO,NYSEARCA:RYE,NYSEARCA:IEZ,NYSEARCA:JKH,,,,0.33594502,0.356391633,0.0802005,0.227462847,,,,19/2/2009
9,9700,420,NYSEARCA:IEZ,NYSEARCA:XOP,NYSEARCA:XBI,NYSEARCA:ITA,NYSEARCA:IHF,,,0.35542186,0.164334913,0.413307661,0.065496276,0.00143929,,,7/1/2008
10,15100,3200,NYSEARCA:XOP,NYSEARCA:PXJ,NYSEARCA:PXE,NYSEARCA:JKH,NYSEARCA:EVX,,,0.4187478,0.251736083,0.137676687,0.134741845,0.057097586,,,2/3/2008
11,5000,650,NYSEARCA:IYE,NYSEARCA:PXJ,NYSEARCA:VDE,NYSEARCA:JKH,NYSEARCA:EVX,,,0.461706419,0.289357486,0.100159756,0.060457945,0.088318394,,,18/5/2008
12,19900,4590,NYSEARCA:IEO,NYSEARCA:FVL,NYSEARCA:IGM,,,,,0.776409232,0.087438635,0.136152134,,,,,25/3/2009
13,8300,680,NYSEARCA:RYE,NYSEARCA:XES,NYSEARCA:XME,NYSEARCA:RYH,,,,0.60209214,0.160576348,0.091402296,0.145929215,,,,15/9/2008
